"","SRR2085160","SRR2085161","SRR2085162","SRR2085163","SRR2085164","SRR2085165"
"ENSG00000100354",1936.72876420821,2013.70135969493,1965.76582700867,1346.3735396404,1132.44275935952,1388.78951489654
"ENSG00000100316",73966.372580836,56500.0797287879,60248.8911389706,69589.8073932299,65863.1959875341,58868.6619354908
"ENSG00000100321",166.662119175187,105.351975679313,44.7689939898454,18.1163412061705,31.6072540491094,33.3614502548928
"ENSG00000100324",995.662487831075,931.533258638134,817.034140314678,1054.04167017719,706.196361897244,839.755362130301
"ENSG00000128268",0,4.62070068768916,0,6.58776043860746,0,0
"ENSG00000100335",1876.38558312754,2244.73639407939,2200.80304545535,2595.57761281134,2462.65662262632,2710.85612928329
"ENSG00000100346",15.8041664735091,17.5586626132188,8.1398170890628,0,2.70919320420938,0
"ENSG00000209482",33.0450753537009,12.9379619255296,13.227202769727,14.8224609868668,12.6429016196438,26.6891602039142
"ENSG00000128272",8176.50103643095,10245.0175647444,11536.1557694742,11372.944927201,22576.6100350781,9700.55654982982
"ENSG00000187051",1441.0526339027,1354.78944163046,1086.66558138988,1837.16169231666,992.467777142035,1485.06112848923
"ENSG00000237214",25.8613633202877,16.634522475681,9.15729422519565,52.7020835088597,43.34709126735,19.0636858599387
"ENSG00000100393",2281.54694181204,3258.51812495839,2622.03857981435,2464.64587409402,4373.54089599534,3651.64902647126
"ENSG00000231993",34.4818177603835,29.5724844012106,25.4369284033212,0,4.51532200701563,5.71910575798162
"ENSG00000215771",24.424620913605,5.54484082522699,1.01747713613285,0,0,0
"ENSG00000196588",497.112872712196,544.318541009783,481.266685390838,1591.76761597853,1500.89303513199,1731.93586037543
"ENSG00000100372",955.43370044396,741.160390305341,854.680794351594,1345.55006958557,952.732943480297,1127.61701861538
"ENSG00000100380",7959.55293302187,6450.49816001406,7101.99041020729,8020.59833400458,7080.92797140191,7265.17068122265
"ENSG00000196236",1379.27271041534,970.347144414723,1256.58426312407,1071.33454132854,658.333948622878,945.558818652961
"ENSG00000239900",2328.95944123257,1967.49435281804,2232.34483667547,3186.82911217636,2557.47838477365,2741.35802665919
"ENSG00000100359",1464.04051240962,1525.75536707496,1480.4292330733,1846.21986291974,1971.38958826302,1767.20367921632
"ENSG00000272834",4.31022722004794,2.77242041261349,4.0699085445314,0,9.93370841543438,4.76592146498468
"ENSG00000232564",2.87348481336529,5.54484082522699,0,1.64694010965187,2.70919320420938,1.90636858599387
"ENSG00000230071",10.0571968467785,4.62070068768916,7.12233995292995,13.9989909320409,11.7398372182406,16.2041329809479
"ENSG00000230769",4.31022722004794,3.69656055015132,0,1.64694010965187,2.70919320420938,0
"ENSG00000172404",20.1143936935571,3.69656055015132,20.349542722657,1.64694010965187,9.03064401403125,18.1105015669418
"ENSG00000100387",1647.943540465,1268.84440883944,1408.18835640786,1930.21380851199,1301.3158024219,1731.93586037543
"ENSG00000167077",4.31022722004794,12.9379619255296,17.2971113142584,0,2.70919320420938,2.85955287899081
"ENSG00000260655",11.4939392534612,3.69656055015132,8.1398170890628,5.76429038378153,0,8.57865863697243
"ENSG00000263463",4.31022722004794,0,2.0349542722657,1.64694010965187,0,2.85955287899081
"ENSG00000159958",4.31022722004794,12.9379619255296,10.1747713613285,4.9408203289556,0,0
"ENSG00000100162",748.542793881659,736.539689617651,726.478675198855,626.660711722535,203.189490315703,433.698853313606
"ENSG00000205704",21.5511361002397,53.6001279771942,35.6116997646497,2.4704101644778,4.51532200701563,0
"ENSG00000100147",135.053786228169,129.379619255296,147.534184739263,206.690983761309,81.2757961262813,191.590042892384
"ENSG00000184068",119.24961975466,114.593377054691,108.870053566215,111.168457401501,53.2807996827844,97.2247978856875
"ENSG00000198911",4928.02645492148,5782.34484057421,5570.68732032735,8853.1265594336,13299.4294394638,10294.3903643669
"ENSG00000100167",590.501129146568,1042.43007514267,920.816808200229,0,11.7398372182406,9.53184292996937
"ENSG00000183066",8.62045444009588,0,0,0,0,7.62547434397549
"ENSG00000198951",1711.16020635903,1582.12791546477,1445.83501044478,1146.2703163177,1257.96871115455,1104.74059558345
"ENSG00000215347",2.87348481336529,2.77242041261349,0,3.29388021930373,7.224515211225,1.90636858599387
"ENSG00000177096",0,12.9379619255296,5.08738568066425,60.936784057119,82.1788605276844,55.2846889938223
"ENSG00000183172",877.849610483098,797.532938695148,721.39128951819,410.088087303314,471.399617532431,439.417959071588
"ENSG00000100395",1814.60565964018,1519.28638611219,1537.40795269674,1313.43473744736,959.957458691522,1309.67521857779
"ENSG00000235513",12.9306816601438,20.3310830258323,10.1747713613285,21.4102214254743,134.556595809066,56.2378732868193
"ENSG00000100399",4.31022722004794,1.84828027507566,0,41.1735027412966,29.8011252463031,24.7827916179204
"ENSG00000100401",4850.44236496062,5201.06069406291,5021.24966681561,12696.2613053062,6912.05492833952,9604.28493623713
"ENSG00000167074",428.149237191429,282.786882086576,323.557729290246,283.273698860121,539.129447637666,234.483336077246
"ENSG00000273424",0,7.39312110030265,8.1398170890628,0.823470054825933,2.70919320420938,0
"ENSG00000100410",627.856431720317,730.994848792424,790.579734775224,1927.74339834751,982.5340687266,1475.52928555926
"ENSG00000100412",6074.54689545423,5323.97133235545,5228.81500258671,3778.08061154138,4630.01118599382,3940.46386724934
"ENSG00000100413",3028.65299328702,2430.4885617245,2378.8615442786,2710.03995043214,1382.59159854818,2323.86330632653
"ENSG00000100417",762.910217948486,620.098032287885,681.709681209009,905.817060308526,1439.48465583658,1002.74987623278
"ENSG00000196419",14501.041110648,12030.4563104675,13669.8053239448,20326.5348333233,12430.681485314,16134.5505275591
"ENSG00000100138",4497.00373291669,3470.14621645456,3497.0689168886,4983.64077180654,3355.78731561401,3804.15851335077
"ENSG00000100403",2657.9734523629,3017.31754906102,2444.99755812724,7182.30581819178,7344.62277661162,6677.05597244354
"ENSG00000183864",1393.64013448217,1612.62454000352,1530.28561274381,1906.33317692203,2718.22384822341,2237.12353566381
"ENSG00000172346",24.424620913605,0,0,0,1.80612880280625,0
"ENSG00000100418",1653.69051009173,1377.89294506891,1435.66023908345,3484.10180196852,3646.57405286582,3020.64102450729
"ENSG00000184208",1005.71968467785,1173.65797467305,1208.76283772583,492.435092785908,605.053148940094,468.966672154493
"ENSG00000255782",14.3674240668265,5.54484082522699,29.5068369478526,9.88164065791119,13.5459660210469,8.57865863697243
"ENSG00000229891",14.3674240668265,36.9656055015132,17.2971113142584,0,13.5459660210469,0
"ENSG00000237037",260.050375609559,211.628091496163,263.526578258408,52.7020835088597,57.7961216898,68.6292690957794
"ENSG00000100197",25.8613633202877,57.2966885273455,55.9612424873067,18.9398112609965,70.4390233094438,43.8464774778591
"ENSG00000232710",0,0,0,4.11735027412966,5.41838640841875,0
"ENSG00000205702",0,11.089681650454,25.4369284033212,27.9979818640817,65.020636901025,55.2846889938223
"ENSG00000226450",0,0,0,7.41123049343339,21.673545633675,13.3445801019571
"ENSG00000100207",1005.71968467785,1343.69975998001,1105.99764697641,2707.56954026767,3359.39957321963,2922.46304232861
"ENSG00000184983",1831.84656852038,1800.2249879237,1847.73847921725,1571.18086460788,1065.61599365569,1388.78951489654
"ENSG00000270083",35.9185601670662,13.8621020630675,15.2621570419927,2.4704101644778,2.70919320420938,8.57865863697243
"ENSG00000213790",18.6776512868744,8.31726123784048,5.08738568066425,15.6459310416927,7.224515211225,13.3445801019571
"ENSG00000227370",8.62045444009588,12.9379619255296,21.3670198587898,1.64694010965187,10.8367728168375,5.71910575798162
"ENSG00000182057",51.7227266405753,50.8277075645807,41.7165625814468,25.5275716996039,27.9949964434969,40.0337403058713
"ENSG00000233903",76.1473475541803,69.3105103153373,55.9612424873067,52.7020835088597,48.7654776757688,26.6891602039142
"ENSG00000273366",91.9515140276894,66.5380899027238,53.926288215041,32.9388021930373,9.03064401403125,29.548713082905
"ENSG00000172250",30.1715905403356,24.9517837135214,34.5942226285169,10.7051107127371,17.1582236266594,7.62547434397549
"ENSG00000183569",60.3431810806712,55.4484082522699,32.5592683562512,27.1745118092558,77.6635385206688,16.2041329809479
"ENSG00000189306",1873.51209831417,1908.34938401562,1796.86462241061,5051.9887863571,3795.57967909734,4014.8122421031
"ENSG00000182841",399.414389057776,403.849240104032,445.654985626188,677.715855121743,623.114436968156,544.268231301251
"ENSG00000202058",11.4939392534612,6.46898096276482,6.1048628167971,1.64694010965187,9.93370841543438,0
"ENSG00000270022",8.62045444009588,0,1.01747713613285,0,3.6122576056125,0
"ENSG00000100227",3012.84882681351,2876.84824815527,3114.49751370265,3285.64551875547,2601.7285404424,3037.79834178124
"ENSG00000100243",2149.36664039724,2340.84696838333,1891.48999607097,5855.69555986721,6886.76912510023,6832.42501220204
"ENSG00000249222",0,0,4.0699085445314,0.823470054825933,3.6122576056125,0.953184292996937
"ENSG00000128274",22.9878785069224,16.634522475681,14.2446799058599,471.024871360434,386.511563800538,581.442418728131
"ENSG00000234009",47.4124994205274,37.8897456390511,37.6466540369154,94.6990563049823,40.6378980631406,48.6123989428438
"ENSG00000100271",297.405678183308,183.903887370028,219.775061404696,56.8194337829894,166.163849858175,61.9569790448009
"ENSG00000242247",1445.36286112274,1199.5338985241,1172.13366082504,1255.79183360955,2233.27826466993,1509.84392010715
"ENSG00000100266",4028.62570833814,3435.02889122812,4175.72616668921,2773.44714465374,2995.46461945417,2779.48539837907
"ENSG00000186976",10.0571968467785,0,17.2971113142584,13.9989909320409,25.2858032392875,13.3445801019571
"ENSG00000261251",15.8041664735091,19.4069428882945,25.4369284033212,3.29388021930373,4.51532200701563,2.85955287899081
"ENSG00000100300",1372.08899838193,1589.52103656507,917.76437679183,4867.53149407609,4033.08561666636,4627.70974250013
"ENSG00000159307",43.1022722004794,30.4966245387484,32.5592683562512,0,0,0
"ENSG00000100290",149.421210294995,182.055607094953,145.499230466997,118.579687894934,78.5666029220719,70.5356376817733
"ENSG00000100294",877.849610483098,672.774020127541,643.045550035961,569.841277939545,309.751089681272,516.62588680434
"ENSG00000100304",5300.14273825229,5521.73732178854,4573.55972691716,6259.19588673191,2710.99933301218,4965.13698222104
