"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","55/3293","89/8546",0.617977528089888,1.60377648194843,4.53326627155068,6.8104122426917e-06,9.90952535340256e-05,6.2046937330742e-05,"1284/3675/3918/3696/3691/2335/6382/6385/3673/3693/3912/7058/7057/3694/3655/3909/1282/3914/960/3339/1288/3688/3678/375790/1291/3676/3371/284217/961/1299/10319/3672/9900/3908/3911/3910/7450/22987/1292/3685/2811/1298/1277/22801/3695/5649/3161/1285/255743/3915/1278/51206/1286/3690/6696",55
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","54/3293","87/8546",0.620689655172414,1.61081499942407,4.53375456150355,6.8341554161397e-06,9.90952535340256e-05,6.2046937330742e-05,"4088/5880/7048/7039/8503/7042/374/83439/10000/1499/7040/1950/1956/8313/6932/5899/2069/1647/5601/5898/387/578/10018/5594/581/5366/4616/5602/5604/5879/7157/7046/4436/1643/836/1026/4087/10912/572/5291/4089/5900/54205/5290/6654/8312/2932/7043/6934/5881/4437/2956/5295/6655",54
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","49/3293","78/8546",0.628205128205128,1.63031916964501,4.42757157389819,1.12328545182047e-05,0.000150812180712136,9.44286793932609e-05,"810/5603/2771/3659/3552/3688/3678/834/729238/3553/3576/718/2773/5601/7099/805/6374/387/6372/5594/710/5602/1432/114548/3569/7124/4790/114609/2770/29108/836/148022/5600/4615/163688/23643/717/7189/3661/51561/1072/10392/91860/653509/716/929/720/110384692/721",49
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","87/3293","157/8546",0.554140127388535,1.43810553557923,4.3865356989412,1.12675767198722e-05,0.000150812180712136,9.44286793932609e-05,"140885/2621/5603/3693/6513/5029/19/1846/7057/1849/8877/5468/161291/7040/3988/338440/1847/64284/10396/834/51454/6376/6868/121601/55754/4240/24145/6446/3091/1399/1901/1844/1850/9564/558/488/961/29933/10461/5594/8754/7879/6566/4035/196527/5604/10326/8398/1432/682/5743/5879/383/102/5868/1398/5747/5734/1374/8578/836/246/3685/50636/1051/5627/5600/7386/126129/80824/2057/5467/177/4776/23659/487/286410/54896/1788/5031/23166/489/4773/89790/3690/384/1375",87
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","56/3293","93/8546",0.602150537634409,1.56270224555835,4.31979250448029,1.71279691242464e-05,0.000220760490934732,0.000138225715739533,"1284/3675/3918/2335/1021/3673/8503/3912/5925/3655/3909/10000/1282/1030/3914/1288/3688/317/1647/578/284217/7185/10319/330/581/4616/1027/3908/3911/5743/3910/4790/7157/5747/1147/1643/836/1026/3685/10912/598/329/5291/1870/1869/5915/7189/54205/5290/1285/1163/3915/5295/1286/7188/9134",56
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","36/3293","54/8546",0.666666666666667,1.73013462901103,4.26130905002407,2.50796130864952e-05,0.000307418266253668,0.000192485121338504,"2531/7368/8611/7357/9517/8877/2760/10715/8612/253782/55331/10558/204219/166929/6609/410/8879/8560/91012/64781/79603/2720/29956/2583/57704/55512/129807/8613/2581/125981/55304/9331/5660/3073/6610/56624",36
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","77/3293","138/8546",0.557971014492754,1.4480474612375,4.20112313598325,2.56181888544723e-05,0.000307418266253668,0.000192485121338504,"64283/5880/2335/10109/5585/5603/5829/8503/9138/60/71/10097/10000/2776/10095/3606/3688/3678/834/3553/3576/391/6714/8874/6885/1399/3676/5601/2533/9564/7099/6093/57180/387/5594/6195/5602/5604/1432/7410/114548/998/5879/3569/10094/27330/7124/4790/1398/5747/1147/29108/148022/29110/5291/5600/4615/10096/9475/10451/8976/7189/382/5290/3661/23118/10093/2932/5608/5881/7535/6197/925/7456/4773/5295/7454",77
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","52/3293","86/8546",0.604651162790698,1.56919187282396,4.20020930764462,2.89153689173872e-05,0.000335418279441692,0.000210016890031549,"3675/3696/3691/5318/4000/3673/3693/60/71/3694/1756/83439/3655/6262/1499/3688/3728/4842/1832/3678/6546/6640/8910/9254/6932/776/3676/2697/782/1829/488/284217/8082/3672/27092/3908/783/781/1000/3685/1837/1824/1496/55799/6934/6645/22801/3695/487/6443/489/3690",52
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","73/3293","130/8546",0.561538461538462,1.45730570674391,4.15981131819603,3.08546208265651e-05,0.000346368001536924,0.000216872886624753,"1284/408/7048/5567/148327/5603/2771/8503/5331/4313/1906/10000/1282/2769/7424/7040/1388/1288/4842/1956/6464/55970/4312/2791/109/6714/107/7423/2773/5601/10488/113/5594/10681/9586/2788/409/5602/5604/1432/2787/59/5332/4790/2770/7046/399694/196883/4318/4087/2784/54331/5291/5600/1277/7422/5290/51764/2786/6654/64764/90993/2790/1285/4322/3640/23236/5330/5295/1278/6655/1286/4846",73
"Organismal Systems","Immune system","hsa04611","Platelet activation","71/3293","126/8546",0.563492063492063,1.46237569833075,4.13973389758369,3.37714460393728e-05,0.000367264475678179,0.000229956885860203,"2982/6850/5567/7408/5603/2771/2983/3673/8503/5331/5742/9138/60/71/10000/103910/2776/10627/5908/3688/109/5028/7094/2534/6714/107/255189/2773/3710/5321/6093/387/113/5594/1432/23533/5332/2770/7450/8673/2149/196883/3709/5291/2811/5600/5499/10672/3708/6916/9475/1277/8773/5336/5290/5584/123745/5593/10125/6786/283748/4067/11093/23236/8605/5330/5295/1278/51206/3690/4846",71
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","58/3293","99/8546",0.585858585858586,1.52042134064606,4.12353462671273,3.82934994564615e-05,0.000403822357904503,0.000252847029903908,"3675/7169/3696/3691/4000/3673/3693/7171/7042/60/71/3694/1756/1906/3655/6262/7040/3688/4842/3678/6546/6640/8910/9254/776/3676/782/3479/488/183/284217/8082/3672/27092/51422/5564/7170/3908/3569/7124/783/781/3685/1837/55799/7139/7043/6645/22801/3695/7134/487/6443/5565/7137/489/1636/3690",58
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","175/3293","362/8546",0.483425414364641,1.25458657490441,3.9188186993751,6.60151573858366e-05,0.000675684552066799,0.00042306927488756,"1284/3675/3918/4233/6850/3696/3691/3566/2335/1969/5154/3716/5228/7039/148327/1021/5585/56034/3481/3673/3693/4254/8503/3667/3912/7058/3643/2065/7057/3694/374/3655/3909/10000/1282/7424/1902/1946/9180/3914/1950/1388/57121/1288/3688/1956/4909/3678/2690/2263/55970/3570/2791/7534/1291/3575/4804/6446/894/118788/2069/7423/2250/10161/64223/3676/3371/5516/1435/10488/7533/3479/7099/3164/5523/9048/284217/117145/1945/1299/10018/5594/10319/10681/3672/7249/2324/9586/2323/2788/5604/1027/5159/1942/23533/3908/23678/3911/4170/2787/5879/10971/2246/3910/3569/5155/7184/7097/4790/7157/3455/5521/7450/5747/1147/1944/2149/9623/1292/7529/627/1026/5618/3685/7532/1440/598/572/2784/5623/54331/5291/1128/1298/10110/11140/1277/7422/5290/2997/51764/2786/54541/2057/6654/9223/64764/3560/5522/2932/90993/2790/7010/22801/3480/3718/3695/2264/1943/5649/1285/896/1436/3915/5295/1278/6655/3574/26291/4803/1286/3690/4846/9134/6696",175
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","77/3293","141/8546",0.546099290780142,1.41723794078563,3.95523861639837,6.91792344566903e-05,0.00068458032790408,0.000428639225275695,"857/810/858/5880/2817/5154/5327/6382/119391/6385/5603/2950/8503/60/71/3383/4313/1906/9446/10000/1499/3552/658/1535/3553/7132/6714/7056/6885/5601/90/805/2946/387/2948/4688/59341/652/5602/1432/5879/4259/5155/7184/7124/4790/7157/5747/1147/4780/2947/9181/4318/7295/3685/3554/445/4258/5291/5600/163688/2938/2939/7422/5290/6383/2944/1728/7850/5608/91860/9817/5881/5295/10365/3690/4846",77
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","102/3293","196/8546",0.520408163265306,1.350564276728,3.93097837654467,7.08186546107669e-05,0.00068458032790408,0.000428639225275695,"6850/810/3716/1021/355/5603/3105/8503/5925/3133/83439/3383/10000/5530/1499/3107/55970/2791/7098/6932/7132/5610/3576/6714/3134/100507436/8717/3091/718/5601/3710/81631/2920/805/2921/1437/5289/3135/2919/578/57580/5594/10681/581/2788/5602/5604/3106/4277/1432/7538/23533/3572/5743/2787/5879/3569/5155/4790/7157/3459/3455/1147/637/836/1026/148022/3709/2784/29110/54331/5291/1870/5600/5534/163688/3708/1869/7422/54205/5336/5290/51764/2786/9976/3661/942/7316/5535/7314/84557/1827/10379/2932/5608/2790/4776/6934/91860/4067/4773/5295",102
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","75/3293","137/8546",0.547445255474453,1.42073099097621,3.93043672494763,7.67795635073543e-05,0.000715743396555135,0.000448151491490965,"1075/355/4000/8503/824/60/71/823/10000/153090/113457/1508/1512/1677/317/7132/8717/6709/843/1647/1522/839/5601/3710/8722/578/10018/7185/5594/112714/330/581/5366/63970/8737/597/4616/5602/5604/1520/5783/4170/9131/142/7124/1509/4790/7157/7846/8797/1147/8795/637/836/8743/10912/598/3709/572/329/5291/3708/54205/5290/79861/84823/2021/1515/84790/4001/5414/55367/5295/4803/51807",75
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","68/3293","122/8546",0.557377049180328,1.44650600130431,3.93274905315322,7.81558881295837e-05,0.000715743396555135,0.000448151491490965,"5880/624/5603/2771/8503/5331/9517/8877/10000/2776/10715/5337/253782/53637/7132/2534/8717/2773/10558/5601/5516/1901/204219/166929/6093/387/5523/6609/5594/581/8879/8560/5602/5604/1432/1903/5879/165679/91012/5332/7124/1509/4790/7157/2770/5521/637/79603/2768/29956/5291/5600/10672/9475/5290/5581/5522/125981/5338/5881/55304/6610/23236/5330/5295/134/4846/56624",68
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","59/3293","103/8546",0.572815533980582,1.48657198706288,3.93337649583404,8.11648189073317e-05,0.000720310844633181,0.000451011327401901,"54947/56994/8611/1606/23761/56261/1119/5337/8612/3931/55224/9468/10555/8760/255189/1607/5321/56895/166929/51365/160851/5320/8525/23171/5130/254531/8398/84513/11145/151056/8443/8527/9926/5322/55500/162466/375775/1609/154141/9489/81490/129642/8613/150763/128966744/1120/1608/123745/11313/23659/5338/2819/283748/55326/64850/8605/57678/142891/84803",59
