"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000053371",1139.38597900799,0.3308791171242,0.145296971642757,0.0178846728200691,0.0390209545116824
"ENSG00000259618",3.05604470176768,-2.84200500263388,2.427579706093,0.0178887458437589,0.0390262448486759
"ENSG00000100934",3221.03766148064,0.428714646249152,0.193927408911676,0.0179176903147763,0.0390857889794507
"ENSG00000258297",229.822629838629,-0.541040088182903,0.255422115045674,0.0179474740508773,0.0391438372679067
"ENSG00000213402",47.2549237780099,-1.32455013577657,0.906112273374691,0.0179476072720529,0.0391438372679067
"ENSG00000267121",3.31861585065902,2.77148261035945,2.3556449554216,0.0179536262831983,0.0391533581566994
"ENSG00000163811",3352.89957855144,0.407766965976897,0.183246412266353,0.0179600226759596,0.0391637002117053
"ENSG00000152475",45.6500717910929,-0.810978656076839,0.432098198618143,0.0179791415531217,0.0392017805095554
"ENSG00000241889",11.9821474455454,1.28410365142586,0.864627702275661,0.0179894291741726,0.0392199912711305
"ENSG00000203279",15.8000574858509,-1.54320444082296,1.13513123442525,0.0179908064871288,0.0392199912711305
"ENSG00000132522",1075.00204548112,0.621652972337827,0.303864982265723,0.0180133584655924,0.0392655393472503
"ENSG00000215405",2.8696211122869,-2.80439654078085,2.39447254527203,0.0180429689200383,0.0393192245853425
"ENSG00000261617",2.8696211122869,-2.80439654078085,2.39447254527203,0.0180429689200383,0.0393192245853425
"ENSG00000178187",22.3232661298021,1.95354177439366,1.55007939793436,0.0180415165715971,0.0393192245853425
"ENSG00000214433",11.4361665279655,-2.01770345860885,1.61360278491174,0.0180645625439356,0.0393626585084451
"ENSG00000265817",41.1340195960816,-0.927619874736042,0.524526383705646,0.0180912607144628,0.0394172062148096
"ENSG00000223522",13.107989036185,-1.18260424152807,0.761907129545451,0.0180959283989837,0.0394237483164095
"ENSG00000126803",69.8387536455864,0.989429170802756,0.577725697855036,0.0181014762396293,0.039432206543905
"ENSG00000197157",9249.96972741398,0.287529514146844,0.125237118951236,0.0181120748651819,0.0394516648190352
"ENSG00000112763",693.452394400985,0.529390765632389,0.249210619387335,0.0181246579390842,0.0394754416358842
"ENSG00000143507",346.605907500732,0.647632108381757,0.320627649912933,0.0181334904342635,0.0394910460827867
"ENSG00000261879",9.67366974878368,1.97108016308327,1.56999013690271,0.0181454853547828,0.0395135341437683
