"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185024",1141.9703930032,-0.829235715121674,0.211697929529446,2.41469765139167e-05,9.24677281125677e-05
"ENSG00000120727",2246.38093825976,-0.617168336544587,0.152971245334004,2.42328249387315e-05,9.27814676704959e-05
"ENSG00000169118",1454.53469782627,0.866117174991874,0.222228588990013,2.42421573222501e-05,9.28021922261786e-05
"ENSG00000155269",8.82511135884703,-6.00725674049813,1.6053663730812,2.42578868223816e-05,9.28473951331279e-05
"ENSG00000139725",76.0100713488502,-1.25317771018185,0.336406978824345,2.43071652728212e-05,9.30209717414881e-05
"ENSG00000132130",79.0891214300389,7.86908434861481,2.20273786784435,2.44659060207455e-05,9.36133252833211e-05
"ENSG00000251493",76.3918533014901,3.26380555112232,0.94056296473453,2.46938900523607e-05,9.4439869935349e-05
"ENSG00000130299",822.292978019948,-0.635752411951386,0.158175853226032,2.4706549917454e-05,9.44705304812277e-05
"ENSG00000268590",8.23626656560842,-5.93537748792943,1.58795237996933,2.47098870325735e-05,9.44705304812277e-05
"ENSG00000173418",2329.52146367933,0.674446147563708,0.168753177813709,2.47365412068266e-05,9.45571659919332e-05
"ENSG00000100206",26.4032766113441,4.7629739450654,1.28784715247555,2.49122256074082e-05,9.51979931740806e-05
"ENSG00000099954",9.58088535126035,-6.10081014352921,1.6353958740396,2.49247446996849e-05,9.52304631683782e-05
"ENSG00000196218",34.5203365635919,4.30303749818074,1.18021826933453,2.49430866924621e-05,9.52851667662834e-05
"ENSG00000181773",48.8089206266243,2.48084677890904,0.734638403105027,2.4962815617667e-05,9.53451500854171e-05
"ENSG00000221909",200.298843702645,1.01869805571595,0.266743992371737,2.49800083552621e-05,9.53954286818615e-05
"ENSG00000210135",2780.62807511762,0.878240577673277,0.226134535997477,2.5027344553836e-05,9.556078648624e-05
"ENSG00000273186",9.88246353209013,5.90079583744832,1.58029782708722,2.50550428534393e-05,9.56511205483523e-05
"ENSG00000254231",10.540326453246,-6.19130408453818,1.66192657196194,2.50608272939392e-05,9.56577797579555e-05
"ENSG00000140835",10.9149175273427,6.00725588085161,1.61000373852703,2.50863440120434e-05,9.57397432580836e-05
"ENSG00000129933",1563.06211527247,-0.628065621705392,0.156238483481843,2.51083793206322e-05,9.58083959991311e-05
"ENSG00000248477",17.5180596822154,-2.60222280014895,0.770339643946763,2.51881705597878e-05,9.60973758208339e-05
"ENSG00000240541",8.7875595241847,-6.00775039609783,1.61133803741714,2.53031619431238e-05,9.6520535738254e-05
"ENSG00000138081",1087.15832288736,1.13635324493457,0.301831569194468,2.53192174871682e-05,9.65662230096136e-05
"ENSG00000068489",1880.70388382564,0.981510915338396,0.256132735868826,2.53433333295324e-05,9.66426321860747e-05
"ENSG00000108433",1061.61449081623,0.667171533774079,0.167003903649547,2.53607953219043e-05,9.66936474777342e-05
"ENSG00000166922",51.8073127439115,2.52363006040091,0.748167503860133,2.53781977711819e-05,9.67444193573133e-05
"ENSG00000244617",21.6279827100262,-2.36395107088155,0.700610325661865,2.54435943310678e-05,9.69781041494995e-05
"ENSG00000246145",16.1781950890812,-4.71621776348424,1.27938875924089,2.55437113421077e-05,9.73440292044238e-05
"ENSG00000224116",13.9496945743859,6.26150886263262,1.6853464430469,2.56156020857788e-05,9.76022868659456e-05
"ENSG00000159871",16.812458884165,3.6176642420005,1.0265135558704,2.5664786361095e-05,9.77739576301925e-05
"ENSG00000131584",1554.70180548189,-1.25380242522374,0.337882251941063,2.56940142578262e-05,9.78695584914015e-05
"ENSG00000145113",29.8871971050506,-3.36986200884753,0.969186800056641,2.57782577041516e-05,9.8174651385105e-05
"ENSG00000046651",497.239575655684,0.958921015867884,0.249873227481379,2.5833862546023e-05,9.83705956098723e-05
"ENSG00000105258",962.843833055458,-0.661703503600657,0.165688928995351,2.58431222476046e-05,9.8390031428933e-05
"ENSG00000196284",181.680760120847,1.18483658603502,0.316940477451431,2.59061842101341e-05,9.86142642352644e-05
"ENSG00000101363",1592.92783461972,0.735773555880574,0.186259293961936,2.5954826586043e-05,9.87835442979812e-05
"ENSG00000254877",10.1959412836354,-6.16327355172846,1.65932124726401,2.60190515054978e-05,9.90120672606351e-05
"ENSG00000132640",839.634765129339,0.760149234148267,0.193162417813712,2.61083051691753e-05,9.93357450571369e-05
"ENSG00000272501",33.3742199670152,-2.61348227683399,0.775913943768109,2.61626002131438e-05,9.9526331177154e-05
"ENSG00000106443",1395.25470801699,-0.591884305425407,0.14683690768115,2.61773186482973e-05,9.95663250820458e-05
"ENSG00000168411",2175.97155077219,0.967297513493683,0.252543918241787,2.62135570993135e-05,9.9656132215871e-05
"ENSG00000179846",22.6814043815457,-2.45481385304484,0.72993012877438,2.62762317487172e-05,9.98783655666042e-05
"ENSG00000091831",12.1093299662181,6.11096025952083,1.64669022142885,2.64390654657487e-05,0.000100481180262044
"ENSG00000225889",12.1460327447167,6.11434653850757,1.64841662433354,2.65789353063459e-05,0.000100996541686463
"ENSG00000121879",756.132952022775,1.12981157532635,0.300899019838488,2.66514266298657e-05,0.000101255749087826
"ENSG00000174100",1844.66470090701,-0.640077105604883,0.16006679980169,2.66605493033172e-05,0.000101274157846084
"ENSG00000260083",53.5205154155678,-2.71585272114281,0.805977300287218,2.67271644803667e-05,0.000101510919698692
"ENSG00000249599",16.3404343243424,-4.70096155378801,1.28088194722706,2.67761190818459e-05,0.00010164793514524
"ENSG00000037241",1253.11170445792,-0.76340972594263,0.19437780051849,2.67744599362206e-05,0.00010164793514524
"ENSG00000167555",491.415494307571,1.25866511600752,0.340386811016902,2.68134463886626e-05,0.000101760520366187
"ENSG00000229320",143.095408407068,-1.32137741266912,0.360016704859641,2.68143720304363e-05,0.000101760520366187
"ENSG00000180438",22.5381939415106,4.26004944256323,1.17791214638278,2.69132663662506e-05,0.000102119456370788
"ENSG00000124593",2039.69895271338,1.70983233651487,0.488194003300188,2.69231820332894e-05,0.000102140711585034
"ENSG00000197620",410.466389715486,-0.821792359617284,0.211086047196235,2.71000921875316e-05,0.000102795399347034
"ENSG00000204618",48.3502756762245,1.86516305385667,0.541309349400508,2.71127592975446e-05,0.000102826974513529
"ENSG00000100105",976.827307896985,-0.812093094946905,0.208336726449084,2.71315509889559e-05,0.000102881763735668
"ENSG00000217801",57.4922239721228,-1.6437644273125,0.466298488846599,2.72896092357371e-05,0.000103464544095204
"ENSG00000132002",4544.60815821409,0.936588576846939,0.244299160542898,2.73795908006522e-05,0.000103789076430842
"ENSG00000117625",1259.55585116934,-0.933578229274344,0.243633169391078,2.77501413714757e-05,0.000105176900472616
"ENSG00000141965",1966.85573964399,-0.678931534045276,0.171159378531232,2.77641374813837e-05,0.000105200912234257
