gene_id,SRR2085160,SRR2085161,SRR2085162,SRR2085163,SRR2085164,SRR2085165
ENSG00000187017,170,454,198,334,659,188
ENSG00000215788,16,50,59,510,1816,845
ENSG00000171680,103,184,92,2059,6111,2630
ENSG00000231868,2,5,9,2,10,4
ENSG00000237436,9,13,11,3,0,0
ENSG00000253022,0,0,2,0,0,0
ENSG00000162408,1542,1794,1741,1845,888,1206
ENSG00000173662,24,35,53,0,0,0
ENSG00000204859,582,747,867,658,857,630
ENSG00000162413,1620,2472,2511,5290,4437,4683
ENSG00000116273,453,569,530,867,804,862
ENSG00000041988,361,511,556,363,255,312
ENSG00000007923,3142,4904,4641,4867,3041,4106
ENSG00000228750,0,0,0,0,0,0
ENSG00000229519,5,6,9,0,2,1
ENSG00000049245,1742,2043,2285,5880,5841,5037
ENSG00000269925,9,26,17,25,27,26
ENSG00000049246,469,938,850,243,293,218
ENSG00000049247,0,0,0,27,0,41
ENSG00000236266,2,3,7,4,2,3
ENSG00000171735,783,1200,1078,703,700,574
ENSG00000227950,0,0,0,0,0,0
ENSG00000237365,0,0,0,0,0,0
ENSG00000207056,0,0,0,0,0,0
ENSG00000237402,0,0,0,0,0,0
ENSG00000237728,0,0,0,0,0,0
ENSG00000225126,0,0,0,0,0,0
ENSG00000270171,3,0,3,0,0,1
ENSG00000270035,2,13,6,0,0,0
ENSG00000269978,5,25,21,0,0,2
ENSG00000116285,873,1024,888,5571,20857,4688
ENSG00000162426,103,161,122,13,16,9
ENSG00000252254,0,2,0,0,0,0
ENSG00000238290,0,0,0,0,7,0
ENSG00000229305,0,0,0,0,0,0
ENSG00000200975,0,0,0,0,0,0
ENSG00000227634,0,0,0,0,0,0
ENSG00000233645,0,0,0,0,0,0
ENSG00000232848,8,1,0,0,0,0
ENSG00000049249,0,0,0,0,3,4
ENSG00000270330,0,0,0,0,0,0
ENSG00000116288,7635,8738,9091,9239,5643,6682
ENSG00000200344,5,2,5,2,2,4
ENSG00000207865,1,1,2,1,2,1
ENSG00000180758,1034,866,1131,1026,971,1135
ENSG00000228526,7,7,12,0,0,0
ENSG00000234546,63,54,59,85,101,74
ENSG00000188807,840,1722,1178,1525,567,1030
ENSG00000049239,1348,2440,1887,1133,2208,1379
ENSG00000252841,0,0,0,0,0,0
ENSG00000171621,301,235,177,1044,1030,1120
ENSG00000252956,0,0,0,0,0,0
ENSG00000235263,0,0,0,0,0,0
ENSG00000171612,2648,3845,3941,439,376,416
ENSG00000231181,31,70,73,14,8,8
ENSG00000142599,760,1735,1341,2229,2739,2558
ENSG00000232912,4,8,0,0,0,0
ENSG00000221083,0,0,0,0,0,0
ENSG00000234619,0,0,0,1,2,1
ENSG00000224315,0,0,3,1,1,0
ENSG00000222511,0,0,0,0,0,0
ENSG00000228423,0,0,2,0,0,0
ENSG00000229716,0,0,0,0,0,0
ENSG00000201725,0,2,2,0,0,0
ENSG00000238249,4,2,1,3,1,2
ENSG00000232208,0,0,0,0,1,0
ENSG00000232663,0,0,0,0,0,0
ENSG00000131686,0,0,0,0,0,0
ENSG00000265141,0,0,0,1,0,0
ENSG00000142583,0,0,0,51,88,100
ENSG00000252404,0,0,0,0,0,0
ENSG00000270282,2,0,0,0,0,0
ENSG00000226545,3,0,3,0,0,0
ENSG00000074800,51781,68209,68851,148212,89506,121165
ENSG00000236269,6,4,7,18,13,15
ENSG00000230679,20,17,24,0,0,0
ENSG00000197241,6,0,0,0,0,0
ENSG00000130940,733,2131,1736,360,657,359
ENSG00000272078,81,378,221,200,180,146
ENSG00000175262,1,0,3,0,0,3
ENSG00000215785,0,5,0,0,0,0
ENSG00000264181,0,1,0,0,0,0
ENSG00000207213,0,0,0,0,0,0
ENSG00000120948,4017,6803,7442,10946,6074,7494
ENSG00000009724,125,124,98,58,82,66
ENSG00000271895,143,91,100,63,91,70
ENSG00000179840,0,0,0,0,0,0
ENSG00000233268,0,0,0,0,0,0
ENSG00000171608,1472,2555,2026,1905,1767,1408
ENSG00000171603,4279,8478,7130,24122,27255,21487
ENSG00000271264,0,0,0,0,0,0
ENSG00000223989,0,0,0,0,0,0
ENSG00000178585,868,1157,1045,3419,3418,2759
ENSG00000162441,768,1342,1270,1142,976,790
ENSG00000173614,681,720,992,1000,677,741
ENSG00000241326,0,0,0,0,0,0
ENSG00000162444,16,8,8,23,15,19
ENSG00000225786,0,0,0,0,0,0
ENSG00000130939,1963,2816,2923,2920,2377,2718
ENSG00000224340,0,0,0,0,0,0
ENSG00000201746,0,0,0,0,0,0
ENSG00000054523,3094,6443,5889,2929,3589,3001
ENSG00000264881,0,0,0,0,0,0
ENSG00000199562,0,2,1,2,0,1
ENSG00000142657,5188,7394,7885,9678,6215,7851
ENSG00000271989,0,5,3,4,1,0
ENSG00000251503,25,0,45,9,22,34
ENSG00000175279,573,879,759,617,378,515
ENSG00000241563,11,24,25,7,2,10
ENSG00000203469,0,0,0,0,0,0
ENSG00000142655,338,688,620,1060,894,861
ENSG00000243267,0,0,0,0,2,2
ENSG00000231789,31,52,39,15,9,25
ENSG00000228150,17,8,14,12,9,10
ENSG00000202415,3,5,8,4,4,1
ENSG00000265521,1,0,0,0,0,0
ENSG00000233623,2,3,1,0,0,0
ENSG00000264501,1,2,1,1,1,1
ENSG00000265945,3,2,4,0,0,4
ENSG00000160049,2183,2929,2713,5371,3386,3552
ENSG00000235643,10,3,3,6,22,8
ENSG00000204624,6,5,4,198,564,303
ENSG00000116661,118,187,127,848,1277,723
